group,band,mean_db,std_db,min_db,max_db,n
showcase_generated,low_0_2k,-56.850341796875,2.633584976196289,-60.822967529296875,-53.50116729736328,10
showcase_generated,target_2_8k,-64.52216339111328,4.430161476135254,-71.28573608398438,-59.01433181762695,10
showcase_generated,high_8_11k,-105.88670349121094,2.369309425354004,-109.38153839111328,-102.08778381347656,10
training_real,low_0_2k,-61.42385482788086,8.377325057983398,-75.78241729736328,-42.69425582885742,72
training_real,target_2_8k,-69.61849212646484,9.711597442626953,-86.86713409423828,-46.40321350097656,72
training_real,high_8_11k,-80.60382843017578,10.113787651062012,-96.30158233642578,-54.63113021850586,72
