group,name,path,duration_s,peak,mean_0_2k_db,mean_2_8k_db,mean_8_11k_db,ratio_2_8_minus_0_2_db
training_real,019__rec_216095__clip_024__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/019__rec_216095__clip_024__win_01__rain.wav,5.0,1.0,-43.079018,-47.177372,-55.435459,-4.098354
training_real,020__rec_216095__clip_024__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/020__rec_216095__clip_024__win_02__rain.wav,5.0,1.0,-42.694256,-46.403214,-54.63113,-3.708958
training_real,021__rec_1313184__clip_004__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/021__rec_1313184__clip_004__win_01__rain.wav,5.0,0.070007,-75.041161,-86.228127,-96.045982,-11.186966
training_real,022__rec_1313184__clip_004__win_02__rain_wind,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/022__rec_1313184__clip_004__win_02__rain_wind.wav,5.0,0.060852,-74.628288,-86.867134,-96.301582,-12.238846
training_real,023__rec_1313184__clip_005__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/023__rec_1313184__clip_005__win_02__rain.wav,5.0,0.108978,-74.767517,-84.779228,-94.891754,-10.011711
training_real,024__rec_1313184__clip_010__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/024__rec_1313184__clip_010__win_00__rain.wav,5.0,0.137268,-67.113495,-75.738747,-87.002602,-8.625252
training_real,025__rec_1313184__clip_010__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/025__rec_1313184__clip_010__win_01__rain.wav,5.0,0.119202,-67.69381,-76.793602,-87.543945,-9.099792
training_real,026__rec_1313184__clip_011__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/026__rec_1313184__clip_011__win_00__rain.wav,5.0,0.111023,-66.446617,-75.913002,-86.560898,-9.466385
training_real,027__rec_1313184__clip_011__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/027__rec_1313184__clip_011__win_01__rain.wav,5.0,0.102112,-66.569939,-76.102203,-86.412315,-9.532265
training_real,028__rec_1313184__clip_011__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/028__rec_1313184__clip_011__win_02__rain.wav,5.0,0.335999,-64.60215,-74.60006,-85.36409,-9.99791
training_real,029__rec_1313184__clip_012__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/029__rec_1313184__clip_012__win_00__rain.wav,5.0,1.0,-51.921314,-71.211571,-84.373856,-19.290257
training_real,030__rec_1313184__clip_012__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/030__rec_1313184__clip_012__win_02__rain.wav,5.0,0.730377,-53.915783,-70.223862,-82.685127,-16.308079
training_real,031__rec_1313184__clip_013__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/031__rec_1313184__clip_013__win_00__rain.wav,5.0,0.095764,-64.264091,-79.273781,-91.60321,-15.009689
training_real,032__rec_1313184__clip_013__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/032__rec_1313184__clip_013__win_01__rain.wav,5.0,0.198975,-63.431545,-79.861885,-91.464783,-16.43034
training_real,033__rec_1313184__clip_013__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/033__rec_1313184__clip_013__win_02__rain.wav,5.0,0.164459,-62.519825,-79.360008,-91.290627,-16.840183
training_real,034__rec_1313196__clip_001__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/034__rec_1313196__clip_001__win_00__rain.wav,5.0,0.869232,-58.638714,-60.82835,-71.645569,-2.189636
training_real,035__rec_1313196__clip_001__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/035__rec_1313196__clip_001__win_01__rain.wav,5.0,0.989532,-58.477772,-61.123024,-72.056175,-2.645252
training_real,036__rec_1313196__clip_001__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/036__rec_1313196__clip_001__win_02__rain.wav,5.0,0.831177,-60.133831,-62.017326,-71.788795,-1.883495
training_real,037__rec_1313196__clip_002__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/037__rec_1313196__clip_002__win_00__rain.wav,5.0,0.582458,-63.436298,-65.927902,-76.662758,-2.491604
training_real,038__rec_1313196__clip_002__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/038__rec_1313196__clip_002__win_01__rain.wav,5.0,0.526855,-63.297096,-66.371658,-77.539955,-3.074562
training_real,039__rec_1313196__clip_002__win_02__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/039__rec_1313196__clip_002__win_02__rain.wav,5.0,0.411102,-62.666988,-66.101868,-76.803986,-3.434879
