frequency_hz,mean_psd_db,std_psd_db
0.0,-48.38832092285156,11.052827835083008
10.7666015625,-47.56623840332031,12.261037826538086
21.533203125,-49.580909729003906,14.547304153442383
32.2998046875,-51.79698181152344,14.701793670654297
43.06640625,-53.238380432128906,14.479934692382812
53.8330078125,-54.08768844604492,13.994413375854492
64.599609375,-54.6020622253418,13.40742301940918
75.3662109375,-55.00483703613281,12.90477180480957
86.1328125,-55.644351959228516,12.431251525878906
96.8994140625,-55.99407958984375,11.756486892700195
107.666015625,-56.366416931152344,11.753230094909668
118.4326171875,-56.31006622314453,11.277626037597656
129.19921875,-56.66590881347656,10.88921070098877
139.9658203125,-57.41289520263672,10.963483810424805
150.732421875,-57.5672607421875,10.826775550842285
161.4990234375,-57.45106887817383,10.675176620483398
172.265625,-57.66086959838867,10.393821716308594
183.0322265625,-58.27255630493164,10.28264045715332
193.798828125,-58.57646179199219,10.2072172164917
204.5654296875,-58.53003692626953,9.889761924743652
215.33203125,-58.82536315917969,9.589874267578125
226.0986328125,-59.37009048461914,9.572352409362793
236.865234375,-59.64094543457031,9.569443702697754
247.6318359375,-59.83005905151367,9.363636016845703
258.3984375,-59.75923538208008,9.19787883758545
269.1650390625,-59.73113250732422,9.057957649230957
279.931640625,-59.89274215698242,9.051630020141602
290.6982421875,-60.01245880126953,8.800204277038574
301.46484375,-60.059326171875,8.653158187866211
312.2314453125,-60.11030578613281,8.528336524963379
322.998046875,-60.17947769165039,8.524109840393066
333.7646484375,-60.15866470336914,8.585001945495605
344.53125,-60.09043502807617,8.539484024047852
355.2978515625,-60.01021957397461,8.497530937194824
366.064453125,-60.03504943847656,8.310747146606445
376.8310546875,-59.94023895263672,8.010889053344727
387.59765625,-59.64071273803711,8.080761909484863
398.3642578125,-59.38511276245117,8.190592765808105
409.130859375,-58.98922348022461,8.270892143249512
419.8974609375,-58.51345443725586,8.373285293579102
430.6640625,-58.02149963378906,8.30226993560791
441.4306640625,-58.19337844848633,8.383862495422363
452.197265625,-58.58731460571289,8.64473819732666
462.9638671875,-58.69805908203125,8.68221378326416
473.73046875,-58.52415466308594,8.7144193649292
484.4970703125,-58.13278579711914,8.893319129943848
495.263671875,-57.48246383666992,9.085177421569824
506.0302734375,-56.98113250732422,9.005739212036133
516.796875,-56.6723518371582,8.668882369995117
527.5634765625,-56.66534423828125,8.428224563598633
538.330078125,-56.94463348388672,8.360048294067383
549.0966796875,-57.08521270751953,8.30465316772461
559.86328125,-57.12282943725586,8.325505256652832
570.6298828125,-57.26447296142578,8.367019653320312
581.396484375,-57.56906509399414,8.261905670166016
592.1630859375,-57.85002899169922,8.207833290100098
602.9296875,-58.38693618774414,8.221163749694824
613.6962890625,-58.92323303222656,8.240694999694824
624.462890625,-59.14902114868164,8.226144790649414
635.2294921875,-59.23750305175781,8.330811500549316
645.99609375,-59.16902542114258,8.583600997924805
656.7626953125,-59.18936538696289,8.703672409057617
667.529296875,-59.25431442260742,8.6869535446167
678.2958984375,-59.24709701538086,8.61634635925293
689.0625,-59.19078063964844,8.530214309692383
699.8291015625,-59.07826614379883,8.412656784057617
710.595703125,-58.91506576538086,8.461747169494629
721.3623046875,-58.94919967651367,8.590767860412598
732.12890625,-58.79715347290039,8.6570463180542
