audio_path,band_2_8khz_db,band_8_11khz_db,drop_8_11_minus_2_8_db
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/038__rec_1313196__clip_002__win_01__rain.wav,-66.37167358398438,-77.53995513916016,-11.168281555175781
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/039__rec_1313196__clip_002__win_02__rain.wav,-66.10184478759766,-76.8039779663086,-10.702133178710938
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/040__rec_1313196__clip_003__win_00__rain.wav,-65.49003601074219,-75.79085540771484,-10.300819396972656
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/041__rec_1313196__clip_003__win_01__rain.wav,-63.84484100341797,-75.09098815917969,-11.246147155761719
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/042__rec_1313196__clip_003__win_02__rain.wav,-63.674381256103516,-74.95156860351562,-11.27718734741211
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/043__rec_1313196__clip_004__win_00__rain.wav,-67.37078857421875,-78.60254669189453,-11.231758117675781
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/044__rec_1313196__clip_004__win_01__rain.wav,-66.462158203125,-78.57034301757812,-12.108184814453125
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/045__rec_1313196__clip_004__win_02__rain.wav,-66.33198547363281,-77.79292297363281,-11.4609375
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/046__rec_1313196__clip_005__win_00__rain.wav,-65.72709655761719,-77.71371459960938,-11.986618041992188
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/047__rec_1313196__clip_005__win_01__rain.wav,-66.339599609375,-78.36022186279297,-12.020622253417969
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/048__rec_1313196__clip_005__win_02__rain.wav,-67.17018127441406,-78.31233978271484,-11.142158508300781
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/049__rec_1313196__clip_006__win_00__rain.wav,-67.00494384765625,-77.89810180664062,-10.893157958984375
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/050__rec_1313196__clip_006__win_01__rain.wav,-68.018310546875,-78.44464874267578,-10.426338195800781
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/051__rec_1313196__clip_006__win_02__rain.wav,-67.90152740478516,-78.66015625,-10.758628845214844
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/052__rec_1401415__clip_001__win_00__rain.wav,-52.80595397949219,-62.779903411865234,-9.973949432373047
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/053__rec_1401415__clip_001__win_01__rain.wav,-52.09907531738281,-61.66348648071289,-9.564411163330078
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/054__rec_1401415__clip_001__win_02__rain.wav,-51.62957000732422,-60.60072708129883,-8.97115707397461
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/055__rec_1401415__clip_002__win_00__rain.wav,-65.94860076904297,-77.40866088867188,-11.460060119628906
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/056__rec_1401415__clip_002__win_01__rain.wav,-66.30120849609375,-77.24475860595703,-10.943550109863281
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/057__rec_1401415__clip_002__win_02__rain.wav,-66.32417297363281,-77.5677719116211,-11.243598937988281
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/058__rec_1401640__clip_001__win_02__rain.wav,-72.88172149658203,-86.16565704345703,-13.283935546875
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/059__rec_1401640__clip_002__win_02__rain.wav,-67.2958984375,-80.2897720336914,-12.993873596191406
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/060__rec_1401640__clip_003__win_00__rain.wav,-72.16677856445312,-83.8436279296875,-11.676849365234375
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/061__rec_1401640__clip_004__win_00__rain.wav,-58.12635803222656,-69.77397918701172,-11.647621154785156
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/062__rec_1401640__clip_005__win_01__rain.wav,-83.2801284790039,-94.12374877929688,-10.843620300292969
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/063__rec_1401640__clip_007__win_02__rain.wav,-63.01327133178711,-74.14292907714844,-11.129657745361328
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/064__rec_1401640__clip_008__win_01__rain.wav,-59.556522369384766,-70.35015869140625,-10.793636322021484
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/065__rec_1401640__clip_009__win_02__rain.wav,-54.78937911987305,-64.58145904541016,-9.79207992553711
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/066__rec_1401640__clip_010__win_01__rain.wav,-61.08491516113281,-73.61126708984375,-12.526351928710938
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/067__rec_1401640__clip_011__win_00__rain.wav,-62.104713439941406,-72.91902160644531,-10.814308166503906
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/068__rec_1401640__clip_012__win_00__rain.wav,-67.05543518066406,-78.05862426757812,-11.003189086914062
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/069__rec_1401640__clip_013__win_01__rain.wav,-73.0065689086914,-83.98017883300781,-10.973609924316406
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/070__rec_1401640__clip_014__win_01__rain.wav,-79.01321411132812,-90.42932891845703,-11.416114807128906
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/071__rec_1401640__clip_015__win_02__rain.wav,-81.77898406982422,-92.8643798828125,-11.085395812988281
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/072__rec_1401640__clip_016__win_02__rain.wav,-86.85712432861328,-95.29043579101562,-8.433311462402344
