reference_rank,audio_event_id,score,quality_score,event_to_background_db,active_ratio,silence_ratio,crop_duration_seconds,audio_path,mel_spectrogram_png_path,verdict,notes
1,18696395,0.9974,5.665393,3.904387,0.220126,0.779874,4,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_18696395_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539219/site_257_item_1539219_audioevent_18696395/mel_spectrogram.png,Pass,SA3 probe 3/3 Pass at noise 0.40
2,13395066,0.9996,4.942894,3.079095,0.232975,0.767025,7,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_13395066_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539500/site_257_item_1539500_audioevent_13395066/mel_spectrogram.png,Pass,SA3 probe 3/3 Pass at noise 0.40
3,10030361,0.9998,4.854007,3.19363,0.207547,0.792453,4,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_10030361_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1677414/site_257_item_1677414_audioevent_10030361/mel_spectrogram.png,Pass,SA3 probe 3/3 Pass at noise 0.40
4,9480305,0.9995,3.427159,1.716467,0.213836,0.786164,4,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_9480305_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539151/site_257_item_1539151_audioevent_9480305/mel_spectrogram.png,Pass,SA3 probe 3/3 Pass at noise 0.40
5,13308905,0.9971,3.397809,2.26196,0.144654,0.855346,4,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_13308905_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402594/site_257_item_1402594_audioevent_13308905/mel_spectrogram.png,Pass,SA3 probe 3/3 Pass at noise 0.40
6,6606841,0.9994,3.127475,1.722457,0.175627,0.824373,7,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_6606841_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402608/site_257_item_1402608_audioevent_6606841/mel_spectrogram.png,Pass,SA3 probe 3/3 Pass at noise 0.40
